id,key,value,type
27526559,highway,traffic_signals,regular
27526562,highway,crossing,regular
27526567,highway,crossing,regular
27526572,highway,traffic_signals,regular
27542193,highway,traffic_signals,regular
27542849,highway,motorway_junction,regular
27542849,ref,65,regular
27545241,highway,traffic_signals,regular
27547134,state,OR,addr
27547134,amenity,post_office,regular
27547134,ele,68,regular
27547134,county_id,067,gnis
27547134,created,08/01/1994,gnis
27547134,feature_id,1164178,gnis
27547134,name,Aloha Post Office,regular
29288024,highway,traffic_signals,regular
29288312,railway,level_crossing,regular
29774701,highway,motorway_junction,regular
29774701,ref,69A,regular
29774710,highway,motorway_junction,regular
