id,user,uid,version,changeset,timestamp
4490031,Peter Dobratz,81676,41,60719707,2018-07-14T20:18:12Z
4493256,Brett_Ham,3735764,35,57252080,2018-03-16T20:15:02Z
4634201,Brett_Ham,3735764,8,40006002,2016-06-14T00:28:49Z
4634203,Peter Dobratz,81676,13,40130018,2016-06-19T08:03:12Z
4634206,Brett_Ham,3735764,4,40006002,2016-06-14T00:28:50Z
4684605,Ryan_Peterson,1399823,22,30689072,2015-05-01T11:47:29Z
5385950,Peter Dobratz,81676,8,40126531,2016-06-19T02:29:47Z
5385976,Peter Dobratz,81676,5,33256808,2015-08-11T02:27:39Z
5386168,Brett_Ham,3735764,6,40546758,2016-07-07T16:40:50Z
5386173,Peter Dobratz,81676,7,53193569,2017-10-23T23:17:36Z
5386184,baradam,331031,8,35165644,2015-11-08T09:53:16Z
5386185,Peter Dobratz_pdxbuildings,2573347,5,28743225,2015-02-10T05:00:59Z
5386214,Brett_Ham,3735764,8,48169827,2017-04-26T17:34:20Z
5386280,Brett_Ham,3735764,8,40291803,2016-06-26T00:03:44Z
5386282,roadgeek99,1442206,11,44362838,2016-12-13T04:03:53Z
5386342,Brett_Ham,3735764,8,39872380,2016-06-07T21:41:17Z
5386349,Brett_Ham,3735764,9,39873255,2016-06-07T22:45:59Z
5386359,Brett_Ham,3735764,10,40291803,2016-06-26T00:03:44Z
5386361,Brett_Ham,3735764,7,45695037,2017-01-31T19:23:48Z
5386376,Peter Dobratz,81676,20,40126531,2016-06-19T02:29:22Z
5386424,bhavana naga,5677293,7,59635443,2018-06-07T12:07:44Z
5386483,Brett_Ham,3735764,8,48169280,2017-04-26T17:11:28Z
5386522,Brett_Ham,3735764,10,48201106,2017-04-27T16:59:39Z
5386555,Brett_Ham,3735764,7,48170610,2017-04-26T18:04:49Z
5386557,Brett_Ham,3735764,8,48170610,2017-04-26T18:04:50Z
5386584,Peter Dobratz,81676,4,40172507,2016-06-21T06:01:46Z
5386628,Stephen214,4018842,13,56335246,2018-02-13T21:35:36Z
5386695,RossPDX,5648922,22,66609552,2019-01-24T17:48:20Z
5386696,Brett_Ham,3735764,8,39873545,2016-06-07T23:10:34Z
5386821,Brett_Ham,3735764,4,39873545,2016-06-07T23:10:38Z
5386827,Mele Sax-Barnett,362111,7,11110754,2012-03-26T21:05:21Z
5386832,danuta_telenav,8412798,18,61458746,2018-08-08T08:15:11Z
5386858,Brett_Ham,3735764,5,48169827,2017-04-26T17:34:20Z
5386962,baradam,331031,6,33701153,2015-08-31T11:28:45Z
5386963,Peter Dobratz,81676,8,40189544,2016-06-21T20:07:01Z
5387043,b-jazz,5800005,13,63592381,2018-10-16T22:00:34Z
5387046,b-jazz,5800005,14,63592381,2018-10-16T22:00:34Z
5387049,Peter Dobratz,81676,6,40142300,2016-06-19T19:12:59Z
5387072,emem,399776,5,48628847,2017-05-12T16:33:57Z
5387076,Brett_Ham,3735764,11,40291819,2016-06-26T00:05:21Z
5387079,Brett_Ham,3735764,11,40291819,2016-06-26T00:05:21Z
5387080,Brett_Ham,3735764,11,41250233,2016-08-05T01:00:13Z
5387084,Brett_Ham,3735764,11,41204962,2016-08-03T00:31:20Z
5387091,Timothy Smith,115918,19,71772751,2019-07-01T06:27:35Z
5387111,Stephen214,4018842,16,56334319,2018-02-13T20:56:53Z
5387166,Brett_Ham,3735764,10,39873255,2016-06-07T22:45:59Z
5387218,TheDutchMan13,1330847,13,49235972,2017-06-04T08:16:36Z
5387222,Mele Sax-Barnett,362111,4,9742167,2011-11-04T21:19:02Z
5387232,Peter Dobratz,81676,15,59855099,2018-06-14T18:30:39Z
5387285,cowdog,3125856,19,52915220,2017-10-14T03:34:18Z
5387305,Brett_Ham,3735764,8,48201106,2017-04-27T16:59:39Z
5387328,Peter Dobratz,81676,9,40172079,2016-06-21T05:24:11Z
5387333,Ryan_Peterson,1399823,21,33598377,2015-08-26T14:52:44Z
5387406,Peter Dobratz,81676,5,40172079,2016-06-21T05:24:12Z
5387459,Brett_Ham,3735764,13,40327127,2016-06-27T18:15:00Z
5387583,baradam,331031,4,33589359,2015-08-26T07:48:47Z
5387596,roadgeek99,1442206,26,71159460,2019-06-11T22:35:42Z
5387637,baradam,331031,12,33741661,2015-09-02T01:23:51Z
5387638,baradam,331031,5,33740855,2015-09-01T23:14:24Z
5387681,Brett_Ham,3735764,10,40327258,2016-06-27T18:21:47Z
5387737,Peter Dobratz,81676,11,40172507,2016-06-21T06:01:45Z
5387772,Stephen214,4018842,22,56334319,2018-02-13T20:56:54Z
5387812,cowdog,3125856,8,58866784,2018-05-11T04:15:10Z
5387814,Mele Sax-Barnett,362111,4,11122136,2012-03-27T23:50:23Z
5387871,Mele Sax-Barnett,362111,7,9742844,2011-11-04T22:53:51Z
5387942,Grant Humphries,393906,15,29884502,2015-03-31T18:13:34Z
5387956,Brett_Ham,3735764,8,40002368,2016-06-13T20:49:50Z
5387975,baradam,331031,12,42484660,2016-09-28T04:03:58Z
5388017,Peter Dobratz,81676,10,40452722,2016-07-03T07:17:58Z
5388102,baradam,331031,18,33741661,2015-09-02T01:23:51Z
5388121,Peter Dobratz_pdxbuildings,2573347,3,28695818,2015-02-08T05:28:33Z
5388156,Brett_Ham,3735764,10,39873255,2016-06-07T22:45:59Z
5388158,Peter Dobratz_pdxbuildings,2573347,4,33611550,2015-08-27T04:45:20Z
5388161,Brett_Ham,3735764,10,39873255,2016-06-07T22:45:59Z
5388176,emem,399776,5,48630854,2017-05-12T18:05:06Z
5388184,Peter Dobratz,81676,14,60022720,2018-06-20T20:54:05Z
5388185,amillar,28145,2,5126432,2010-07-03T17:32:14Z
5388201,Peter Dobratz,81676,5,37774095,2016-03-11T22:23:57Z
5388243,Brett_Ham,3735764,7,48170610,2017-04-26T18:04:50Z
5388263,Brett_Ham,3735764,6,48172361,2017-04-26T19:07:50Z
5388534,baradam,331031,11,33701153,2015-08-31T11:28:45Z
5388564,baradam,331031,6,33697589,2015-08-31T08:15:45Z
5388602,cowdog,3125856,6,49049119,2017-05-28T16:16:27Z
5388635,baradam,331031,5,33697589,2015-08-31T08:15:43Z
5388719,Brett_Ham,3735764,6,40002368,2016-06-13T20:49:56Z
5388737,Peter Dobratz,81676,13,40172079,2016-06-21T05:25:32Z
5388745,Peter Dobratz_pdxbuildings,2573347,3,31859371,2015-06-10T01:48:29Z
5388760,baradam,331031,7,34361569,2015-10-01T07:21:23Z
5388774,cowdog,3125856,17,52915220,2017-10-14T03:34:18Z
5388782,Meredith Rider,4048171,11,41416908,2016-08-12T19:25:59Z
5388784,Brett_Ham,3735764,13,41474262,2016-08-15T19:06:44Z
5388788,Brett_Ham,3735764,11,41223221,2016-08-03T20:02:24Z
5388791,cwilley106,4048366,11,41273033,2016-08-05T20:34:15Z
5388792,Brett_Ham,3735764,5,48201106,2017-04-27T16:59:39Z
5388810,baradam,331031,8,35275502,2015-11-13T02:21:11Z
5388831,baradam,331031,5,33741661,2015-09-02T01:23:55Z
5388859,Grant Humphries,393906,10,29884502,2015-03-31T18:14:41Z
5388864,cowdog,3125856,7,54801567,2017-12-21T01:09:29Z
5388964,baradam,331031,6,33762528,2015-09-02T22:51:27Z
5389008,Brett_Ham,3735764,8,40331393,2016-06-27T21:34:47Z
5389014,TheDutchMan13,1330847,16,49235972,2017-06-04T08:16:38Z
5389017,Brett_Ham,3735764,9,40326449,2016-06-27T17:36:17Z
5389023,Brett_Ham,3735764,16,40286219,2016-06-25T17:59:45Z
5389027,Oregon On Demand,5168497,13,51869202,2017-09-09T04:38:10Z
5389049,Peter Dobratz,81676,11,40172079,2016-06-21T05:24:33Z
5389080,TheDutchMan13,1330847,10,49235972,2017-06-04T08:16:41Z
5389084,TheDutchMan13,1330847,11,49235972,2017-06-04T08:16:42Z
5389087,TheDutchMan13,1330847,18,49235972,2017-06-04T08:16:42Z
5389089,Peter Dobratz,81676,7,40172079,2016-06-21T05:24:33Z
5389194,thetornado76,1624486,12,71663177,2019-06-27T08:17:09Z
5389201,Peter Dobratz,81676,10,40130018,2016-06-19T08:04:34Z
5389217,TheDutchMan13,1330847,8,49235972,2017-06-04T08:16:49Z
5389238,TheDutchMan13,1330847,8,49235972,2017-06-04T08:16:50Z
5389239,TheDutchMan13,1330847,7,49235972,2017-06-04T08:16:50Z
5389252,TheDutchMan13,1330847,8,49235972,2017-06-04T08:16:51Z
5389253,TheDutchMan13,1330847,10,49235972,2017-06-04T08:16:51Z
5389254,Peter Dobratz,81676,14,40122225,2016-06-18T19:30:22Z
5389255,Grant Humphries,393906,10,14148212,2012-12-04T05:11:41Z
5389260,Peter Dobratz,81676,10,40172079,2016-06-21T05:25:06Z
5389280,Brett_Ham,3735764,9,40327493,2016-06-27T18:30:43Z
5389326,Peter Dobratz,81676,9,40130018,2016-06-19T08:04:00Z
5389328,Peter Dobratz,81676,9,53680670,2017-11-11T00:06:30Z
5389329,Peter Dobratz,81676,11,53680670,2017-11-11T00:06:30Z
5389331,TheDutchMan13,1330847,9,49235972,2017-06-04T08:16:56Z
